Date,binance,coindcx,bitforex,upbit,bitrue,nami_exchange,okex,b2bx,lbank,gdax,mxc,digifinex,gate,pionex,kucoin,bitget,uniswap_v3,bybit_spot,xt,hitbtc,bitmart,bione,bitcoin_com,bkex,whitebit,btse,huobi,dcoin,kraken,biconomy,bullish_com,changelly,bingx,cointr,azbit,tidex,binance_us,coinstore,coinsbit,p2pb2b
2023-04-21,13386040563.872234,8072171135.813246,3213168735.5631046,2480220361.365224,1735104197.523465,1428320104.2325675,1762462620.0390575,14150757.555094976,1486072168.7383797,1668174506.5626483,1071151984.2631724,619746241.7190621,1077286931.7182758,960130175.433026,889201490.3145814,905308009.8494364,911577135.2167064,890630209.601553,679540150.4184967,994072440.8989006,952683528.6103176,956493443.1841142,930164551.8785758,877893262.760342,803612768.18517,552608171.9692556,573943943.1219866,760947185.3174753,686845294.9279758,681061611.4872521,675778134.4054661,749422428.91142,651770974.9846303,521787219.90032494,368325316.1695928,634210656.2663449,699166153.127583,381828633.3530419,466475192.8051083,335416282.9183732
2023-04-22,11683464300.26872,6236700168.549942,3038387893.290636,2622406888.008726,1517902710.0741265,1679506819.327914,1554390031.6488323,17328826.31937333,1415411065.115716,1598100234.6910486,946331799.4351472,471622070.8052897,977607733.5828416,943065744.4027588,818350982.4703555,790926017.330727,968298091.3659788,852923645.9610687,655227968.8377872,815951825.92982,970858781.4216708,841705634.4150747,753280465.5829085,781479995.2284154,784693188.0882293,606465167.8639395,582230817.4121084,641662518.2022487,660908242.6541213,639359581.4658484,595520308.9808648,613329410.3885797,592732399.4046799,466281082.208848,366076269.638319,566738880.2290109,587559109.8150631,382648490.6705795,432468031.7404784,317787684.6383309
2023-04-23,6267926186.603098,3212964386.098688,2978397278.413678,1633313128.6910436,993848793.8349954,1039018156.1242852,736867191.523426,9129681.287843056,1398851308.292076,607937396.09426,787635588.7396516,256882945.3562352,553218896.6163439,442236207.08116496,461628361.6003091,706455835.0297728,335423897.3036694,476487317.0175936,420698768.60801744,459944618.1892979,452290941.2432929,454680080.0840516,436027006.8447608,441003949.6843553,412775927.9289557,523757590.8935197,421412691.9322177,380843589.00890267,228913369.1611264,505751761.8624972,209323920.173272,347249651.50614864,333602186.12502,332374967.8113878,362733562.3238124,280508342.81114554,239068930.4288701,351518271.3673258,234792410.74176764,164904356.46695426
2023-04-24,6390531933.328674,2797056877.212161,2871408009.0355086,1134778414.2779832,975136283.6354352,1023204870.6483524,659855175.8852905,13566989.782778507,1155841246.149606,570310668.2098131,805314356.8851854,246420707.8958949,556409284.6019459,445871552.31647646,471240918.7875014,502392749.0212839,363025177.0183007,411701451.5588039,463601955.22236925,385413853.5455807,425659560.8811614,442372855.03228086,359926142.73325443,456291775.8488444,394739880.7843165,548590944.4668412,402356442.5575746,432793418.9615909,223854074.1702164,514448748.2269887,269223051.4265238,282336838.9340006,323101466.0450988,291087198.17074007,363831832.83657527,287149477.4084812,346262796.9985067,328581879.7802608,238792380.46303803,159928595.1283601
2023-04-25,8575411144.016908,4203080700.8163567,2971478861.5799656,1292400602.5102725,1277753574.1502554,1178531835.1460116,1066697689.8465488,25260309.714748222,1008562455.543498,998565904.8003956,1050884329.308097,339999964.04775643,742993285.040726,631922965.0608838,589628693.394922,558302800.3255773,603491001.1383655,583334438.9155612,631091877.0491487,545638950.0797384,658086209.6872063,609428941.9937046,517664941.4906957,555533280.572141,625323428.0637344,552401570.4365005,491138148.9039965,608311797.8609601,516465069.2698265,569907892.0626175,462543129.0331358,422338303.9521333,374798057.4895901,366381559.6818149,365337715.63977855,389267463.9451217,508755049.9796031,322523583.83310294,340229496.49105704,214627765.27769804
2023-04-26,8203596765.05826,3915232636.886179,3162182498.7298985,1481186420.582536,1530000053.8771818,854230159.0261555,875377100.8046695,14649767.10417191,1016858095.4993848,958171690.2450622,913374159.8801107,307706810.1160423,710432040.4966865,587881147.5418464,549717277.2163448,517620902.3665635,556210039.0508226,634942127.5144234,657799693.1441641,533096863.0831116,641939396.0649507,546793587.974161,520096364.8601618,489181007.4092312,520024561.7991369,538285439.5569764,488185376.86324906,553176053.577542,531298569.1073448,545735999.4832822,357608928.9801973,421269718.1199847,817523638.2065817,364175611.007212,981971717.5721192,364888569.4003956,418834221.03122014,365411049.0433141,319456227.9924548,205284179.0456217
2023-04-27,16199921287.136915,8206622944.576706,3240442564.9486623,1962807772.1040485,1999871693.7711413,1405894001.6170688,2402869048.9634347,29171046.77775696,1562419762.632263,2059584608.5568776,1066137679.945406,645934870.0928661,1221625669.543741,1697155754.6833944,993115327.3383516,731565303.47863,1055891274.61273,1284083643.6283638,878339393.3038524,919260887.844936,1625745004.2272203,999971870.463738,865999225.1415201,942578103.1346962,1229581778.0510898,614269603.7120565,769570144.0496302,748119154.8545738,918598619.6545604,682387669.6706593,917583666.5232404,701856286.8179929,842823151.6133915,572429608.3053972,374260373.1025896,806994069.0629786,877722197.5094653,433005779.953359,663608040.3902627,422194290.1582948
2023-04-28,12946800711.748043,6539796649.621947,2734438884.4419923,1280776262.3381095,1721615049.3209991,1963946522.2625785,1574032235.9875064,13166168.340507748,4233736278.600224,1717687056.5346715,1109341364.8794918,510499730.3560001,1074271954.6845517,1364915530.2291706,796929976.8916259,826880209.6914172,1071647291.7906272,1063823922.557806,776004005.3141809,1096729092.5364144,1142493245.5156653,751177895.7629766,1073978244.7364008,747431520.2265155,1082999044.6275003,700621660.3457587,582191451.1250336,920840405.2924773,721510953.6146089,500605215.6747977,1112006849.6263623,919587328.788936,588777411.17954,566314883.9448457,370587836.7476766,667574413.3852555,886833486.924676,393911694.6752322,561004234.4945902,368803610.5563458
2023-04-29,8962369304.012285,4336497148.542982,2853742140.0476427,1068561818.8930416,1297740078.239605,1150727377.4302902,842406106.9823817,10551730.96539749,1763393360.6087277,1084542448.8578317,977385397.9802616,304388895.6255803,707614446.2223608,795659780.3920382,573582491.2996738,583878695.5827255,504588559.4544705,706744396.4244119,554714767.1083418,569655121.636494,376834468.1927633,613510175.4291892,540044103.3465075,437978683.3907076,467824998.7324359,681075413.3435149,446705222.7609052,579005254.8955641,565884886.2236553,370954179.9456186,630794210.0275922,448904076.9245783,2260494799.5217786,472984179.5964844,374233721.7889029,421054986.43844616,402753923.91793895,381651723.2648263,347141191.4964328,228344790.30987737
2023-04-30,5062817299.908373,2078390574.962217,2594293337.996729,762014251.2235478,831512941.2515192,707860458.8042152,495600341.434937,8692255.845109051,762034344.2374771,482583585.2249498,866126444.543367,181261040.10129705,418394796.52855486,361793161.078243,397759847.7790384,515028133.5676315,273267812.1637782,378768250.451436,347711031.5795073,325934712.33966416,273455607.9634694,304813280.4266978,301250356.6297474,319728263.0512244,283735680.4635456,567056715.1591891,389454934.1928876,326723428.1406016,186046957.43124008,244470874.38045147,222634855.3310766,220137637.6951073,229150428.5652121,284154131.75519,375931534.39701873,196455276.6517104,172574880.8895489,283766591.6268895,168547625.20346788,102424744.631296
2023-05-01,6652857694.645696,3223178688.0729446,2643741142.7394905,672483666.5867662,959803786.6609824,713169447.4356196,818448626.6667666,19959640.564494383,754773472.0507042,618296360.2861918,1091226842.0110738,239918921.31689835,610929929.1584712,632806707.4998926,487088104.5871707,499185671.6904592,460390784.1787384,492413661.9815617,470452245.9328254,422504244.9805132,289590628.794634,431177408.4173552,399095001.03377366,314433032.15672183,560499979.1827862,573226101.3977542,488898805.3833047,428165986.7890648,301404871.78474337,271953533.9668212,467072925.593524,326148660.4670849,275932056.56744325,311216225.9533621,376502658.5017729,306734820.3043658,280015831.89986247,294558773.2854006,253089886.22543952,169861767.30399823
2023-05-02,8919019075.83194,4581745384.782217,1988454327.8849504,831048510.6051232,1469141687.401205,1108613889.165847,1397523130.6927884,26634587.26172164,910765003.411547,1227256056.1127932,1266579145.9420187,355104574.06841093,799365778.853345,877119892.3464514,602998240.011266,591857107.8915746,669301070.0624285,746396862.4410344,744192515.0663633,656760124.7349696,451853792.8669033,607903480.020385,620353480.1094855,383081782.54457295,860670825.5148394,608323217.4605895,603884167.3810443,559620285.3050534,420093702.2285583,298653685.13745207,746526990.9751453,524584016.07040495,395502139.5120447,402814017.1281879,370788044.3243719,430840849.4309244,445428583.9786682,323093230.7489283,349854877.44978654,246386441.88418323
2023-05-03,7401584647.138851,3858655714.978342,1985892635.50658,750503588.7911425,1121675461.628081,1429344307.4002676,986272245.3884726,14261838.302816603,822879943.07789,969023054.3745598,1180737195.8838434,231472245.20293072,701237433.6761442,713301821.0064702,481282874.3697525,623504740.117087,583611419.9932052,597998496.8153154,662201425.8339052,612824422.4279861,416466861.5915159,463808643.6675856,591552722.6691468,368629351.1504521,624461015.8201742,599808769.0278039,511024649.23387337,509021755.4069694,525815463.1471223,278406841.382702,612250755.0872409,519890053.691812,434907941.5209162,389593796.4857203,369486351.8906349,360202935.1894028,320280876.3500314,331378476.9401444,291208018.08343655,213347127.48159412
2023-05-04,9499831655.942837,4714912251.36791,1991865982.4199653,906272015.2385308,1374640916.1782591,1221114607.2711244,1137213386.9233892,17345454.153946165,894559242.6571343,1094512891.5480723,1162492057.4682024,277496300.11404026,778675820.0186577,867345030.1645876,691148786.4504657,627721983.2192353,641742585.3303646,932006892.6122372,748284398.1353185,554139310.3475899,445333672.8771637,560256986.8696394,536436732.3914447,391335056.4190058,707706917.3140126,618931854.3954124,590884570.057839,605937302.9147354,525984599.7291773,280296479.2933505,749698619.6007456,452589154.4244704,672351347.7188025,402665485.6971495,372142258.7182335,424024005.6521435,438391922.6116165,331830105.66927,344931205.5446775,250869927.5399934
